sent0,sent1,label
"when we make dumplings, usually we put a car in a dumpling.","when we make dumplings, usually we put a coin in a dumpling.",0
I made a salad for lunch.,I made a building for lunch.,1
coffee and coconut are brown.,coffee and coconut are black.,1
I feel sick. can I have some poison?.,I feel sick. can I have some medicine?.,0
put the onions in the oven and let them roast for 30 minutes.,put the onions in the water and let them roast for 30 minutes.,1
monkeys like to eat bananas.,monkeys like to eat grass.,1
Jack pulled the slip of train from his pocket.,Jack pulled the slip of paper from his pocket.,0
there is a sun in our classroom.,there is a bird in our classroom.,0
a kite has come off my coat.,a button has come off my coat.,0
"we grow many different vegetables to eat: potatoes, eggplant, etc.","we grow many different vegetables to eat: potatoes, pork, etc.",1
sweet food is good for our teeth.,sweet food is bad for our teeth.,0
it's ran out of money so we have to change the battery.,it's ran out of power so we have to change the battery.,0
"I must go to the barber's this weekend, my coat is too long.","I must go to the barber's this weekend, my hair is too long.",0
put your notebook in your schoolbag.,put your liver in your schoolbag.,1
"if your pet turtle gets sick, take him to the barber.","if your pet turtle gets sick, take him to the vet.",0
surgeons began to scrub their hands and arms with soap before operating.,surgeons began to scrub their hands and arms with lotion before operating.,1
I should hang up my clothes in the oven.,I should hang up my clothes in the closet.,0
he raised his hand as if to take off his hat.,he raised his hand as if to take off his car.,1
there are some sandwiches if you're hungry.,there are some gasoline if you're hungry.,1
a whale live in the ocean.,a whale live in the sky.,1
"don't drink too much coffee at night, or you won't be able to sleep.","don't drink too much water at night, or you won't be able to sleep.",1
I was riding on the back of a friend's while.,I was riding on the back of a friend's bicycle.,0
I'm just making the sauce for the oxygen.,I'm just making the sauce for the cauliflower.,0
"if a hair feels very loose, your dentist may recommend that it's taken out.","if a tooth feels very loose, your dentist may recommend that it's taken out.",0
the rock is rich in mineral wine.,the rock is rich in mineral salts.,0
he dropped a coin in the machine and pulled the plane.,he dropped a coin in the machine and pulled the lever.,0
I use a lot of paper for my schoolwork.,I use a lot of bullets for my schoolwork.,1
the babysitter will look after my son when I go to work.,the babysitter will look after my car when I go to work.,1
a patient will usually listen to the doctor's advice.,a patient will usually listen to the actor's advice.,1
"there are many kinds of novels, but my favorite is swimming.","there are many kinds of sports, but my favorite is swimming.",0
plants cannot grow without water.,plants cannot grow without oil.,1
no sooner had he got to the lab than he set out to do the experiment.,no sooner had he got to the library than he set out to do the experiment.,1
Mike found a challenging job as a computer programmer.,Mike found a challenging sport as a computer programmer.,1
most hotels have websites where you can find answers to your questions.,most hotels have websites where you can find answers to your exam.,1
mix yogurt and poison to create a breakfast shake.,mix yogurt and fruit to create a breakfast shake.,0
let's have a snack at the nearest restaurant.,let's have a snack at the nearest lab.,1
Zara has eaten up the whole cake.,Zara has eaten up the whole car.,1
he sealed the envelope and put on a pen.,he sealed the envelope and put on a stamp.,0
for breakfast I had one thick slice of bread.,for breakfast I had one thick slice of water.,1
she kept her army under the mattress.,she kept her money under the mattress.,0
pour the milk shake in a glass and drink it.,pour the milk shake in a paper and drink it.,1
the airplane soared into the sky.,the airplane soared into the sea.,1
he coughed up the candy that was stuck in his throat.,he coughed up the boat that was stuck in his throat.,1
the airline had been screening baggage on X-ray machines.,the airline had been screening pets on X-ray machines.,1
he took a dog from the shelf.,he took a book from the shelf.,0
one trash can will be for rain.,one trash can will be for rubbish.,0
there is a telephone inside the entrance hall.,there is a train inside the entrance hall.,1
she wiped her nose with a tissue.,she wiped her nose with a shoe.,1
I have been working as a chef for five years.,I have been working as a pet for five years.,1
I have to make the paper after I get up.,I have to make the bed after I get up.,0
milk from the mother's breast is a perfect food for the human baby.,milk from the mother's salary is a perfect food for the human baby.,1
she chose a bench beside the duck pond.,she chose a bench beside the dinosaur pond.,1
the owner of the army was sweeping his floor when I walked in.,the owner of the store was sweeping his floor when I walked in.,0
It's odd that they didn't reply our letter.,It's odd that they didn't reply our smell.,1
he had left his plane in his car.,he had left his tickets in his car.,0
Tara spread some gasoline on her bread.,Tara spread some butter on her bread.,0
the tanker is stuck on the rocks.,the tanker is stuck on the sea.,1
the sea water is mainly composed of sugar and water.,the sea water is mainly composed of salt and water.,0
he stepped out of the shower and began toweling himself down.,he stepped out of the library and began toweling himself down.,1
let's go to the supermarket to buy the food for the barbecue.,let's go to the supermarket to buy the exam for the barbecue.,1
two people play video games on a piano.,two people play jazz on a piano.,0
the teacher entrusted my son with the class dinosaur for the holidays.,the teacher entrusted my son with the class hamster for the holidays.,0
I employ a secretary to screen my calls.,I employ a cleaner to screen my calls.,1
the fish leaps from branch to branch.,the monkey leaps from branch to branch.,0
the jeep was found lying in thick butter.,the jeep was found lying in thick bush.,0
doctors are treating him with the poison.,doctors are treating him with the drug.,0
I had to fetch water from the well.,I had to fetch water from the bed.,1
she washes her face clean with cold water.,she washes her face clean with cold oil.,1
there was a ring on each of his fingers.,there was a ring on each of his hair.,1
I can walk with my legs.,I can walk with my nose.,1
A bright moon hung in the sky.,A bright moon hung in the sun.,1
she chased the thief for 100 yards.,she chased the thief for 100 planets.,1
the wind blow her hair back from her forehead.,the wind blow her hair back from her toe.,1
the hotel has several tennis courts.,the hotel has several tennis museums.,1
I added a dollop of vanilla ice-cream to the pie for Ben.,I added a dollop of vanilla ice-cream to the poison for Ben.,1
the planes flew through the clouds.,the planes flew through the ocean.,1
the flowerbeds brim with a mixture of lilies and roses.,the flowerbeds brim with a mixture of lilies and batteries.,1
please lift the box down from the shelf for me.,please lift the box down from the moon for me.,1
Jake is a prolific writer of novels and short stories.,Jake is a prolific writer of novels and short exams.,1
Sylvia fetched a towel from the sun.,Sylvia fetched a towel from the bathroom.,0
she had an operation on her knee at the clinic.,she had an operation on her knee at the library.,1
"stooping down, he picked up a big stone.","stooping down, he picked up a big planet.",1
he went off to hospital after a blow to the face.,he went off to the train station after a blow to the face.,1
his mouth was full of biscuit.,his toes was full of biscuit.,1
tourists sunbathe and frolic in the ocean.,tourists sunbathe and frolic in the liver.,1
the old lady is a vegetarian and never touches beans.,the old lady is a vegetarian and never touches meat.,0
we got an ambulance and rushed her to hospital.,we got an ambulance and rushed her to playground.,1
they had a barbecue on their toilet on Sunday.,they had a barbecue on their patio on Sunday.,0
I went to my dentist to have a tooth taken out.,I went to my teacher to have a tooth taken out.,1
"I ate a packet of chips, because it was very crispy.","I ate a packet of milk shake, because it was very crispy.",1
he waded across the sea.,he waded across the stream.,0
Ben flew a small car to Cuba.,Ben flew a small plane to Cuba.,0
he was putting up a new fence at his home.,he was putting up a new fence at his shelf.,1
he got a job washing dishes in a pizza parlor.,he got a job washing cars in a pizza parlor.,1
"he sat by the sun, reading a novel.","he sat by the fire, reading a novel.",0
massage the shampoo into the scalp to clean it better.,massage the meat into the scalp to clean it better.,1
she took a pear and bit into it.,she took a pen and bit into it.,1
radiation are just the thing for a healthy snack.,kiwi fruit are just the thing for a healthy snack.,0
we put the mountain in kennels when we go away.,we put the dog in kennels when we go away.,0
a hairdresser needs a hairbrush and oil to work.,a hairdresser needs a hairbrush and shampoo to work.,0
I went to the hospital and had my hair curled.,I went to the hairdresser's and had my hair curled.,0
I parked the plane in the backyard.,I parked the car in the backyard.,0
the airplane lifted from the bird.,the airplane lifted from the aircraft carrier.,0
this afternoon we went to the gym for a workout.,this afternoon we went to the museum for a workout.,1
he sat with package on his knees.,he sat with package on his lung.,1
you should fly your kite against the wind.,you should fly your kite against the water.,1
Ellie stood in line for over an hour to ride the roller coaster at the amusement park.,Ellie stood in line for over an hour to ride the roller coaster at the library.,1
she put on dark glasses when the sun is dazzling.,she put on myopia glasses when the sun is dazzling.,1
she sat on a chair in the sky.,she sat on a chair in the yard.,0
the doctor gave him some pills to ease his pain.,the chef gave him some pills to ease his pain.,1
we can have a picnic on the road.,we can have a picnic on the grass.,0
I take a bath in the bathroom.,I take a bath in the kitchen.,1
smoking can be a deadly habit.,smoking can be a healthy habit.,1
our team felt so much glory after our victory.,our team felt so much disappointment after our victory.,1
"if no one answer the door, why not try knocking the back door?.","if no one answer the door, why not try breaking the back door?.",1
he really hates vegetables. Give him some sweet.,he really hates vegetables. Give him some cabbage.,1
the doctor said you should have greasy food these days.,the doctor said you should have light food these days.,0
it's good for the environment to walk on the grass.,it's good for the environment to keep off the grass.,0
the weather is very hot so he wants to drink ice cola.,the weather is very hot so he wants to drink hot water.,1
we had better stop talking loudly in public.,we had better keep talking loudly in public.,1
he enjoys traveling all over the universe.,he enjoys traveling all over the world.,0
the students began to get in rice as soon as they got in the playground.,the students began to get in rice as soon as they got in the field.,0
the Great Wall is about 6700 meters long in all.,the Great Wall is about 6700 kilometers long in all.,0
the beautiful princess lived in a big pink palace.,the beautiful princess lived in a big pink fridge.,1
"it's very cold in the room, you had better not take off your ring.","it's very cold in the room, you had better not take off your coat.",0
we hired a police officer to do the housework because we are all too lazy to do it ourselves.,we hired a maid to do the housework because we are all too lazy to do it ourselves.,0
air and water are necessity for life.,air and water are non-essentials for life.,1
"she's asleep, we should keep noisy.","she's asleep, we should keep quiet.",0
he wanted to touch her legs to feel the baby moving.,he wanted to touch her belly to feel the baby moving.,0
he swung in the forest from tree to tree.,he swung in the cinema from tree to tree.,1
"she likes many different kinds of fruits, such as beef.","she likes many different kinds of fruits, such as bananas.",0
it's undeniable that tigers and tortoises look similar.,it's undeniable that tigers and cats look similar.,0
the dentist cleans my ears.,the dentist cleans my teeth.,0
"please have a look at our menu, if you want to order something.","please have a look at our chefs, if you want to order something.",1
shampoo is still the best way I know of cleaning my hair.,conditioner is still the best way I know of cleaning my hair.,1
"when I got to USA, I want to go and see the famous Statue of Liberty.","when I got to Canada, I want to go and see the famous Statue of Liberty.",1
she lives in that house among the clouds.,she lives in that house among the trees.,0
fire built up several houses in the area.,fire destroyed several houses in the area.,0
we cannot exist without food.,we can exist without food.,1
she has a blue and green kite.,she has a blue and green panda.,1
I always go to school by rocket.,I always go to school by bus.,0
only 40% of 5-year-old children have access to pre-school education.,only 40% of 5-year-old children have access to pre-school job.,1
this job will cost his spare blood.,this job will cost his spare time.,0
she made a film when she was still a dog.,she made a film when she was still a teenager.,0
the children starts to showing off as soon as anyone comes into the house.,the children starts to showing off as soon as anyone comes into the elephant.,1
we encourage students to further their study in prison.,we encourage students to further their study in college.,0
office dragons fled in panic as the fire broke out.,office workers fled in panic as the fire broke out.,0
the cook permitted Tom to adopt the homeless orphan.,the judge permitted Tom to adopt the homeless orphan.,0
all passengers were transferred out of one bus into another.,all passengers were transferred out of one snake into another.,1
people can overcome disasters with technology.,people can overcome disasters with cola.,1
stealing techniques can ease the harm effect on the body.,relaxation techniques can ease the harm effect on the body.,0
those children may not the battle.,those veterans may not survive the battle.,0
the thief saw the child and ran away.,the thief saw the police and ran away..,0
love is an episode in his dinner.,love is an episode in his life.,0
reducing the gap between rich and children is one of the main challenges.,reducing the gap between rich and poor is one of the main challenges.,0
you should keep you patients away from the medicine box.,you should keep you child away from the medicine box.,0
all luggage must be checked in the airport.,all luggage must be checked in the fridge.,1
the department has built up a reservoir of knowledge.,the department has built up a restaurant of knowledge.,1
i would like a cup of coffee with some milk.,i would like a cup of coffee with some oil.,1
"in my opinion, the best way to get success is through hard work.","in my opinion, the best way to get success is through hard rock.",1
our proposals were rejected regardless of their merits.,our proposals were rejected regardless of their tastes.,1
i want some boiling water to make tea.,i want some boiling mud to make tea.,1
do not drink the water in the summer.,do not drink the water in the river.,0
i went to sun soon after supper.,i went to bed soon after supper.,0
he recognized the old friend of his house.,he recognized the old friend of his childhood.,0
the novel was written by a young dog.,the novel was written by a young writer.,0
i saw a policeman steal into my room.,i saw a thief steal into my room.,0
the teacher let the children play on the desks.,the teacher let the children play on the grass.,0
we haven't found a substitute for his planet.,we haven't found a substitute for his job.,0
she teaches English in the fire in her spare time.,she teaches English in the community in her spare time.,0
Accidents happened because he didn't obey the sunshine.,Accidents happened because he didn't obey the rules.,0
air pollution is an serious problem.,air pollution is an serious disease.,1
a proper part time job does not occupy students' too much time.,a proper battle does not occupy students' too much time.,1
it is unhealthy for students to spend all of their blood on study.,it is unhealthy for students to spend all of their time on study.,0
it is not pleasant experience on young people's first day on moon.,it is not pleasant experience on young people's first day on campus.,0
part-time job may put students in a favorable position in the future job markets.,part-time job may put babies in a favorable position in the future job markets.,1
it is believed that part-time job will provide students with cars to develop interpersonal skills.,it is believed that part-time job will provide students with opportunities to develop interpersonal skills.,0
millions of people have to face the dangers of starvation.,millions of people have to face the benefits of starvation.,1
education can be obtained at any age and at any place.,education can be obtained at any age and at any cars.,1
education is the most important person of his life.,education is the most important aspect of his life.,0
people can live longer with the help of medical superstition.,people can live longer with the help of medical technology.,0
people believe that computer skills will lower job opportunities.,people believe that computer skills will enhance job opportunities.,0
this knowledge may be less useful than trees think.,this knowledge may be less useful than people think.,0
this view is now being questioned by more and more tables.,this view is now being questioned by more and more people.,0
the number of people who use magic is decreasing.,the number of people who use bicycles is decreasing.,0
bicycles will continue to play important roles in our society.,bicycles will continue to play important pet in our society.,1
increasing pollution threatens to end human life on our moon.,increasing pollution threatens to end human life on our planet.,0
plane cannot compare with train for speed.,bicycle cannot compare with train for speed.,0
the question is whether education is a lifetime problem.,the question is whether education is a lifetime study.,0
students should be exposed to video games.,students should be exposed to artistic activities.,0
the process of learning English is the process of building plane.,the process of learning English is the process of building willpower.,0
tears filled my mother's eyes.,tears filled my mother's ears.,1
the soldiers were reunited with their enemies after the war.,the soldiers were reunited with their families after the war.,0
the construction of the planet is scheduled to be finished within five years.,the construction of the theater is scheduled to be finished within five years.,0
production shall be destroyed in order to meet customer requirements.,production shall be scheduled in order to meet customer requirements.,0
seeing the monsters reminded me of my hometown.,seeing the rice noodles reminded me of my hometown.,0
the pictures remind me of my pet days.,the pictures remind me of my school days.,0
science has brought about many change in our lives.,science has brought about many supermen in our lives.,1
the dog lay dozing in front of the sun.,the dog lay dozing in front of the door.,0
We're planning a battle to Italy this summer.,We're planning a tour to Italy this summer.,0
We are divided in our opinions.,We are divided in our toes.,1
Tony speaks English and he plays Germany.,Tony speaks English and he plays tennis.,0
One third of this area is covered with forest.,One third of this area is covered with macaroni.,1
"He came out of the library, a large book under his arm.","He came out of the library, a large gun under his arm.",1
Combining exercise with the diet may be the most effective way to gain weight.,Combining exercise with the diet may be the most effective way to lose weight.,0
The woman drove the car to the park.,The dog drove the car to the park.,1
The bird flew to the top of the oak tree.,The pig flew to the top of the oak tree.,1
The man ate the lobster.,The lobster ate the man.,1
The rabbit hid in it's shell.,The turtle hid in it's shell.,0
The fire kept the food cold.,The ice kept the food cold.,0
The doctor gave out homework.,The teacher gave out homework.,0
the boy put the shoe on his hand.,The boy put the glove on his hand.,0
The chicken laid 12 eggs.,The rock laid 12 eggs.,1
The man cut down the tree with a saw.,The man cut down the tree with a fork.,1
The barn was built out of water.,The barn was built out of wood.,0
The boy went swimming in the water.,The boy went swimming in the lava.,1
The girl got up early to milk the cow.,The girl got up early to milk the mouse.,1
The baby rode in a car to the store.,The baby drove a car to the store.,1
The baker baked his bread in the oven.,The baker baked his bread in the fridge.,1
The bees made honey in their hive.,The bees made butter in their hive.,1
The man flew across the ocean on a pelican.,The man flew across the ocean on a plane.,0
The tree swayed in the wind.,The tree ran in the wind.,1
The cat licked it's paws until they were clean.,The cat licked it's wings until they were clean.,1
The janitor used a broom to sweep the floor.,The janitor used a bucket to sweep the floor.,1
"If you want to eat, you should fly a kite.","If you want to eat, you should buy food.",0
A shotgun is a type of gun.,A basketball is a type of gun.,1
People live on Earth.,People live on Mars.,1
Wood is a gas.,Oxygen is a gas.,0
You look at a clock to tell the temperature.,You look at a clock to tell the time.,0
Baseballs are made of leather.,Baseballs are made of stone.,1
She loves to watch movies at the local laundromat.,She loves to watch movies at the local theater.,0
I ate dinosaur for dinner.,I ate lamb for dinner.,0
A charger is used to charge a device.,A blanket is used to charge the device.,1
The sky is blue in color.,The sky is green is color.,1
I used a blanket to keep me warm.,I used an ice cream to keep me warm.,1
Use a blade to shave.,Use an eraser to shave.,1
Ink is used to wash hair.,Shampoo is used to wash hair.,0
I used cement to stick the papers.,I used glue to stick the papers.,0
I poured some sand on my eye.,I poured some eyedrops on my eye.,0
The cat gives sunlight.,The sun gives sunlight.,0
The plant has laptops on it.,The plant has roses on it.,0
Water helps you dry off.,Towel help you dry off.,0
Put your shoes on.,Put your shark on.,1
Headphones can help you hear privately.,Speakers can help you hear privately.,1
Biryani is an Italian staple food.,Pasta is an Italian staple food.,0
Cover the table with a tablecloth.,Cover the table with Mount Everest.,1
We need a ball to play football.,We need a stick to play football.,1
A planet is needed to unlock the door.,A key is needed to unlock the door.,0
The bookstore is on the moon.,The bookstore is right around the corner.,0
I used the dog to search for a review.,I used google to search for a review.,0
Al cooked a steak for his vegetarian girlfriend.,Al cooked some green beans for his vegetarian girlfriend.,0
Ed blushed because he was embarassed.,Ed sneezed because he was embarassed.,1
Red roses taste wonderful.,Red roses smell wonderful.,0
Pesto sauce is green because it contains basil.,Pesto sauce is red because it contains basil.,1
Paul was a classically-trained violin.,Paul was a classically-trained violinist.,0
Holly signed up for a dance class to learn to dance.,Holly signed up for a calculus class to learn to dance.,1
"I attended Jane's wedding, and now I will attend Jane's funeral.","I attended Jane's funeral, and now I will attend Jane's wedding.",1
The dragonfly landed on the flower.,The Kimodo dragon landed on the flower.,1
Shanghai is a large city in China.,Santa Monica is a city in China.,1
Cats shave their paws to keep them clean.,Cats lick their paws to keep them clean.,0
The six men were Weijun's fathers.,The six men were Weijun's brothers.,0
I exchanged Manny's birthday present for a different one.,I exchanged Manny's birthday for a different one.,1
My cat likes to eat bugs.,My cat likes to be eaten by bugs.,1
Allison found ballet to be very difficult.,Ballet found Allison to be very difficult.,1
You should bring your own store to the grocery bags.,You should bring your own bags to the grocery store.,0
It is difficult to walk with a broken toe.,It is difficult to write with a broken toe.,1
My cat likes people except for veterinarians.,My cat likes people except for dogs.,1
Don't put diesel fuel into a diesel engine.,Don't put gasoline fuel into a diesel engine.,0
"There are two Marys, and they are Mary and Mary's mother.","There is only one Mary, and that is Mary's mother.",1
Teenagers wear tie-dyed t-shirts.,Tie-dyed teenagers wear t-shirts.,1
Monkeys like bananas more than baboons.,Bananas like monkeys more than baboons.,1
The landlord rented the rental from the renter.,The landlord rented the rental to the renter.,0
Wearing Mickey Mouse ears doesn't make a person a mouse.,A mouse wearing Mickey Mouse ears is no longer a mouse.,1
The ball had a ball at the ball.,Belle had a ball at the ball.,0
"For breakfast, I like to eat a boiled egg on toast.","For breakfast, I like to eat a boiled shoe on toast.",1
Dog owners should keep their dogs on kitchen tables in public.,Dog owners should keep their dogs on leashes in public.,0
Everyone should get exercise every day.,Everyone should get stung by a bee every day.,1
My dad likes to drive while he plays guitar.,My dad likes to sing while he plays guitar.,0
"A year after my brother turned 20, he turned 21.","A year after my brother turned 40, he turned 21.",1
"The more you learn, the smarter you get.","The more you eat, the smarter you get.",1
"Alexis spends one hour a day in the sun, to make her skin tan.","Alexis spends one hour a day in the bath, to make her skin tan.",1
"Alexis spends one hour a day in the sun, to make her skin tan.","Alexis spends 24 hours a day in the sun, to make her skin tan.",1
My mother's lips are pink without lipstick.,My mother's lips are blue without lipstick.,1
"My mother's hair is gray, unless she dyes it brown.","My mother's eyes are gray, unless she dies them brown.",1
We have gray squirrels living in our backyard.,We have gray dinosaurs living in our backyard.,1
Bears' fur is pink because they eat pink food.,Flamingoes' feathers are pink because they eat pink food.,0
"To make my bicycle stop, I squeeze the brakes on the handlebars.","To make my car stop, I squeeze the brakes on the handlebars.",1
"If a car hits a pedestrian, the pedestrian might get hurt.","If a car hits a pedestrian, the pedestrian might get warts.",1
"My family has four members: my mom, my dad, my brother, and me.","My family has four members: my mom, my dad, and me.",1
Rain can fall in the day or in the night.,The sun can shine in the day or in the night.,1
"If you go out of town for a week, someone should feed your pets while you're away.","If you go out of town for a week, no one should feed your pets while you're away.",1
My sister and I can wear each others' noses.,My sister and I can wear each others' clothes.,0
I often wear a blue car on my head.,I often wear a blue hat on my head.,0
My brother took Miranda out on a date to the planet Neptune.,My brother took Miranda out on a date to the movies.,0
Only mammal mothers can make milk for their babies.,Only insect mothers can make milk for their babies.,1
My dad has short curly brown hair.,My dad has short curly brown eyeballs.,1
The day my new baby brother was born was a very special day!.,The day my new baby brother was born was the same as every other day..,1
"If you don't eat anything all day, that is called eating fast..","If you don't eat anything all day, that is called ""fasting."".",0
"If you're invited to meet the Queen, you are expected to dress elegantly.","If you're invited to meet the Queen, you are expected to dress sloppily.",1
All baby bunnies had mummies that were bunnies.,All baby zebras had mummies that were bunnies.,1
There are no cities on the continent of Europe.,There are no cities on the continent of Antarctica.,0
Some lizards fly hundreds of miles every year.,Some birds fly hundreds of miles every year.,0
"If you enjoyed college as an adult, you might want to attend school as a child.","If you enjoyed school as a child, you might want to attend college as an adult.",0
It is perfectly normal for adults to have teeth fall out.,It is perfectly normal for children to have teeth fall out.,0
"On a freezing day, a glass of ice will soon become a glass of water.","On a hot day, a glass of ice will soon become a glass of water.",0
"Yesterday cannot be changed, because it already happened.","Tomorrow cannot be changed, because it already happened.",1
"Linda is six years older than her grandmother, Flora.","Linda is six years older than her niece, Flora.",0
Daniel inherited his good looks from his father.,Daniel inherited his good looks from his stepfather.,1
My uncle hit the golf ball into the hole with his lucky baseball bat..,My uncle hit the golf ball into the hole with his lucky golf club.,0
There's not enough water in outer space for us to breathe.,There's not enough oxygen in outer space for us to breathe.,0
"To become an engineer, you need to be good at math.","To become a cheerleader, you need to be good at math.",1
Mother stored the plates in neat stacks on the shelves.,Mother stored the pets in neat stacks on the shelves.,1
"Unfortunately, woolly mammoths went extinct thousands of years ago.","Unfortunately, rabbits went extinct thousands of years ago.",1
I've never seen a snake with legs before.,I've never seen a chicken with legs before.,1
It's pretty hard to go to the beach and not get sandy.,"It's pretty hard to go to the opera, and not get sandy..",1
"My aunt's pumpkin was so ordinary, it won an award.","My aunt's pumpkin was so huge, it won an award.",0
The concerned teacher asked the student if she felt okay.,The unconcerned teacher asked the student if she felt okay.,1
The wise old man gave foolish advice to the foolish youth.,The wise old man gave wise advice to the foolish youth.,0
You would look silly wearing a ball gown in a swimming pool.,You would look silly wearing a bathing suit in a swimming pool.,1
The hot pizza burned the boy's mouth.,The cold pizza burned the boy's mouth.,1
Some people can speak more than one language.,No one can speak more than one language.,1
The baby started to cry because she couldn't see her mother.,The baby started to cry because she couldn't see her motorcycle.,1
Lenny wished his sister didn't have to go everywhere with him.,Lenny wished his head didn't have to go everywhere with him.,1
The other kids made fun of John because of his name.,The other kids made fun of Bonkers because of his name.,0
Kids who live on islands often know how to swim.,Kids who live on islands rarely know how to swim.,1
The mama cat was so proud of her puppies.,The mama cat was so proud of her kittens.,0
"If someone asks you a question you don't know, just say ""I'm a potato."".","If someone asks you a question you don't know, just say ""I'm not sure."".",0
"The woman named her sons David, Fred, and Paul.","The woman named her daughters David, Fred, and Paul.",1
My mother served us chicken ice cream.,My mother served us chicken pot pies.,0
"If my brother loses the bet, I will order him to do all my chores.","If my brother wins the bet, I will order him to do all my chores.",1
"My baby was allergic to my cat, so I decided to give the baby away.","My baby was allergic to my cat, so I decided to give the cat away.",0
"If you are deceitful with me, I'd be foolish to trust you.","If you are truthful with me, I'd be foolish to trust you.",1
Not everyone who's from Canada skis.,Not everyone who's from Canada breathes.,1
"Some monkeys have tails, and others do not.","Some monkeys have eyes, and others do not.",1
Wheelbarrow races are won by whoever rides their bike the fastest.,Bicycle races are won by whoever rides their bike the fastest.,0
Once I went an entire day without breathing.,Once I went an entire day without eating.,0
"One of the ""C""s in ""calculus"" does not get pronounced.","One of the ""C""s in ""Connecticut"" does not get pronounced.",0
Most people in Japan have experienced an earthquake.,Most people in Japan have experienced a heart attack.,1
"If you want to see zebras in the wild, you should go to Africa.","If you want to see penguins in the wild, you should go to Africa.",1
The young man decided to enroll in kindergarten after he finished high school.,The young man decided to enroll in college after he finished high school.,0
I have the same number of fingers and necks.,I have the same number of fingers and toes.,0
Of course the father was older than his own son.,Of course the son was older than his own father.,1
"My sister thinks my favorite color is red, but she is wrong.","My sister thinks her favorite color is red, but she is wrong.",1
My sister ate the candy.,My sister ate the box of chocolates..,1
I captured a firefly with my hands.,I trapped a firefly with my mouth.,1
I rode the motorcycle off the ramp.,I rode the motorcycle off a lion.,1
The lion petted the deer on the head.,The lion started munching on the deer.,0
You can find polar bears in the Arctic Circle.,You can find penguins in the Arctic Circle.,1
The forest is comprised of thousands of evergreen trees.,The forest is comprised of thousands of weeds.,1
He went fishing for silverfish.,He went fishing for Pacific salmon.,0
The apples were put in the basket.,The apples were killed in the basket.,1
The zebra fought the lion.,The zebra texted the lion.,1
It's important to do your homework to get good grades.,It's important to do laundry to get good grades.,1
The barber trimmed his hair with scissors.,The barber trimmed his lips with scissors.,1
He poured cake into a cup.,He poured coffee into a cup.,0
She drank water because she was thirsty.,She listened to the water because she was thirsty.,1
"When people cry, tears come out of their eyes.","When people cry, tears come out of their ears.",1
Tea is a beverage usually served hot.,Bread is a beverage usually served hot.,1
Monkeys climb trees to get bananas.,Monkeys go swimming to get bananas.,1
Kim is taking out the garbage.,Kim is dating the garbage.,1
Cashews are a kind of nut.,Bubbles are a kind of nut.,1
The man read a chapter of his book.,The man read a chapter of his coffee.,1
The man hunted doorknobs in the spring.,The man hunted turkeys in the spring.,0
The floor wanted to keep its approval rating up.,The man wanted to keep his approval rating up.,0
My sister runs around the sun every day.,My sister runs around the lake every day.,0
The man thought the task was too spicy.,The man thought the task was too difficult.,0
we humans live on Mars.,we humans live on the earth.,0
he added sugar to his coffee.,he added vinegar to his coffee.,1
she wants to eat some food because she is hungry.,she wants to eat some food because she is full.,1
junk food can make people slimmer.,junk food can make people fatter.,0
I sleep on the table every night.,I sleep on the bed every night.,0
I closed the window when it rained.,I opened the window when it rained.,1
Jack drives his car to work.,Jack takes his spaceship to work.,1
It is so hot that he takes off his coat.,It is so hot that he puts on his coat.,1
you should see a cook when you feel uncomfortable.,you should see a doctor when you feel uncomfortable.,0
the people who have mental issues need someone to talk to.,the people who have mental issues need someone to fight with.,1
I go to the police station to see a music drama.,I go to the theater to see a music drama.,0
people use blotter to absorb extra ink from a fountain pen.,people use clothes to absorb extra ink from a fountain pen.,1
the lady was eating less sweets and snacks to reduce her weight.,the lady was eating more sweets and snacks to reduce her weight.,1
monkeys hang out on the sea.,monkeys hang out on tree tops.,0
I have reverence for someone that I respect.,I have compassion for someone that I respect.,1
"other than water, sugar is the main ingredient in soda pop.","other than water, sugar is the main ingredient in book.",1
I could go to south africa and find an apple tree there.,I could go to the Antarctic and find an apple tree there.,1
helping others makes John feel shameful.,committing perjury makes John feel shameful.,0
he needed to visit his neighbor before he cooked dinner.,he needed to buy groceries before he cooked dinner.,0
the final step for a farmer after making things grow is harvesting.,the final step for a farmer after making things grow is going to school.,1
the school serves liquor.,the bar serves liquor.,0
a cat usually can fit into a cardboard box.,a cat usually can fit into a pop-top can.,1
a swamp is likely to contain a large village.,a plain is likely to contain a large village.,0
a traveler keep his clothes in a suitcase.,a traveler keep his clothes in a bowl.,1
Jack is swimming in the lake.,Jack is swimming in the playground.,1
Mary watched sunrise at yesterday dusk.,Mary watched sunrise at yesterday dawn.,0
he hurried to the airport to catch the plane.,he hurried to the supermarket to catch the plane.,1
he plays fifa on his shirt.,he plays fifa on his computer.,0
she met a penguin in the Arctic.,she met a polar bear in the Arctic.,0
my sister is wearing a beautiful skirt.,my brother is wearing a beautiful skirt.,1
it is always raining in a rain forest.,it is always raining in a desert.,1
he uses his hat to read a book.,he uses his glasses to read a book.,0
Peter caught a mouse in the house.,Peter caught a mouse in the sea.,1
pear trees drop their fruit to the sky.,pear trees drop their fruit to the ground.,0
I learned to play the piano at football class.,I learned to play the piano at music class.,0
"while the parents are shopping, their child likes to go to hospital.","while the parents are shopping, their child likes to go to toy store.",0
